index,sent,ref_anim,ref_case,distance(clauses),conflict,num,word,tag,features,head,pron_func,pron_case,inf_str,corpus,comments
114,"# text = Ten má hlavn? uhradit rozvojový program spole?nosti, který má cíl p?ibližn? do roku 2000 zdvojnásobit po?et telefonních stanic a rozvinout telekomunika?ní sít? na bázi digitální technologie.",i,1,1,"1,1!",1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,2,nsubj,1,,PDT,
115,"# text = P?ízniv? by m?ly být tomu naklon?ny i zdravotní pojiš?ovny, nebo? ty by rovn?ž uspo?ily za cestovné, konstatoval Petr Wízner.",i,1,1,,12,ty,PDFP1----------,Case=Nom|Gender=Fem|Number=Plur|PronType=Dem,15,nsubj,1,,PDT,
116,# text = g) Krom? bytu má ?len družstva nárok na vypo?ádací podíl (ten se stanoví jako podíl na veškerém majetku družstva v?etn? takzvaného ned?litelného fondu a ?lenovi musí být vyrovnán nejpozd?ji do 5 let).,i,4,1,,13,ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,15,nsubj:pass,1,,PDT,
117,# text = Ten musí p?ijmout náležité opat?ení.,a,7,1,"4,7",1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,2,nsubj,1,,PDT,
118,# text = Ten byl krutý.,i,1,1,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,3,nsubj,1,,PDT,
119,# text = Ta je mým jediným bankovním ústavem.,i,2,1,,1,Ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,6,nsubj,1,,PDT,
120,# text = Ten ukládá možnosti ur?itých korekcí da?ových norem.,i,1,1,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,2,nsubj,1,,PDT,
121,# text = Ty ukázaly pot?ebu novelizovat n?která ustanovení zákona a formulovat tak n?které ustanovení zákona jednozna?n?ji.,i,1,1,,1,Ty,PDFP1----------,Case=Nom|Gender=Fem|Number=Plur|PronType=Dem,2,nsubj,1,,PDT,
122,"# text = Ta umož?uje poslech 30 hudebních žánr?, které jsou vysílány soub?žn? celých 24 hodin z USA.",i,4,1,,1,Ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,2,nsubj,1,,PDT,
123,"# text = Ti mají tendence p?esunout se do oblastí výroby, obchodu a služeb.",a,2,1,,1,Ti,PDMP1----------,Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur|PronType=Dem,2,nsubj,1,,PDT,
125,# text = Ten ?iní 18 procent.,i,2,1,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,2,nsubj,1,,PDT,
126,"# text = Co se tý?e normální klientely , tak tu p?edstavují p?edevším zahrani?ní turisté .",i,3,,,8,tu,PDFS4----------,Case=Acc|Gender=Fem|Number=Sing|PronType=Dem,9,dep,4,,PDT,
127,"# text = Za ten je t?eba skute?n? dob?e zaplatit, protože takto vynaložené peníze se n?kolikanásobn? vrátí.",i,4,,,2,ten,PDIS4----------,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing|PronType=Dem,7,obj,4,,PDT,
128,"# text = * ?ást majetku privatizovaného p?ímým prodejem sice našla své majitele, ale ti se ob?as nemají k jeho zaplacení.",a,4,1,,13,ti,PDMP1----------,Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur|PronType=Dem,16,nsubj,1,,PDT,
129,"# text = Ten bychom p?em??ovali na obchodní - nej?ast?ji na akciovou spole?nost, a pak její akcie b?žn? prodávali.",i,4,,,1,Ten,PDIS4----------,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing|PronType=Dem,3,obj,4,,PDT,
130,"# text = V t?chto p?ípadech na ten p?istavený majetek náš fond vydá akcie, ty prodá, a restituent - jako ?elný ?len budoucího p?edstavenstva - bude na n?m s dalšími spoluvlastníky hospoda?it.",i,4,,,13,ty,PDFP4----------,Case=Acc|Gender=Fem|Number=Plur|PronType=Dem,14,obj,4,,PDT,
131,"# text = Z?stanou sice závazky a pohledávky, ale ty už nemusí vy?izovat Fond.",i,1,,,8,ty,PDFP4----------,Case=Acc|Gender=Fem|Number=Plur|PronType=Dem,11,obj,4,,PDT,
132,# text = Ty pat?í do kompetence pod?ízených.,i,1,1,,1,Ty,PDFP1----------,Case=Nom|Gender=Fem|Number=Plur|PronType=Dem,2,nsubj,1,,PDT,
133,# text = Ta se v opavské firm? pohybuje okolo 250 K? a je výchozí.,i,1,1,"2,1",1,Ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,6,nsubj,1,,PDT,
134,# text = Ten uzav?el se Stehlíkem dohodu o poskytnutí p?eklenovacího úv?ru na rozjezd výroby.,i,3,1,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,2,nsubj,1,,PDT,
135,"# text = Ten je však neuspokojil, protože neposkytoval okamžité výsledky.",i,4,1,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,4,nsubj,1,,PDT,
136,# text = Nedávno se dohodl se vzd?lávací agenturou Kredo a ta za?adila kurzy na jeho ovládání do svého jarního a letního programu.,i,7,1,,9,ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,10,nsubj,1,,PDT,
137,# text = Ty berou svou práci jako nep?íjemnou nutnost a jejich výd?lek je pro n? vlastn? kapesné.,a,7,1,,1,Ty,PDFP1----------,Case=Nom|Gender=Fem|Number=Plur|PronType=Dem,2,nsubj,1,,PDT,
138,"# text = Ti se podle názoru vedení snaží, jsou za možnost pracovat vd??ní a ochotní.",a,2,1,,1,Ti,PDMP1----------,Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur|PronType=Dem,6,nsubj,1,,PDT,???????? ??????? ?????????? ????? ???????????? ? ????????????
139,"# text = Ta se uzavírá výhradn? ohledn? takových hodnot, které jsou p?edm?tem obratu nebo ob?hu (jde zejména o peníze v hotovosti nebo jiné ceniny a dále pak o zboží, resp. jeho zásoby), které byly zam?stnanci zam?stnavatelem sv??eny.",i,1,1,"1,6",1,Ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,3,nsubj:pass,1,,PDT,
140,"# text = Územní odbor ministerstva zem?d?lství po prov??ení žádosti, v?etn? p?íslušných doklad?, vyhotoví zú?tovací doklad ""Finan?ní vypo?ádání..."" a ten zašle i s p?ílohami ministerstvu zem?d?lství.",i,4,,,24,ten,PDIS4----------,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing|PronType=Dem,25,obj,4,,PDT,
142,"# text = Žena oponuje - nesmysl, vždy? ten na ní už všichni vid?li.",i,4,,,7,ten,PDIS4----------,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing|PronType=Dem,12,obj,4,,PDT,
143,"# text = Lítá p?itom od jedné práce k druhé, uprost?ed si dáchne u piva ?i kávy, poté se?ve d?ti, že mu nepomáhají a ty za?nou luxovat tam, kde to již otec ud?lal.",a,4,2,,25,ty,PDFP1----------,Case=Nom|Gender=Fem|Number=Plur|PronType=Dem,26,nsubj,1,,PDT,
144,"# text = Ten ale musí mít jasno: Co má ud?lat, jaký má být výsledek.",a,1,2,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,3,nsubj,1,,PDT,
145,"# text = U Bohemie to je n?co jiného - ta stahovala úspory domácností, hospoda?ila s nimi sv?domit?, platila dobré úroky - a p?esto je te? v potížích, by? kv?li zahrani?n? obchodním operacím.",i,2,1,,8,ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,9,nsubj,1,,PDT,
146,# text = Ta si p?ivezla z USA opasky a cht?la stejné.,i,2,1,,1,Ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,3,nsubj,1,,PDT,
147,"# text = Ti si platí každý zvláš? za výpomoc p?i vedení ú?etnictví, za da?ové porady, za dopravu p?i nákupu materiálu, a tyto náklady se promítají i v cen? šperk? pro Kordonu.",a,1,1,,1,Ti,PDMP1----------,Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur|PronType=Dem,3,discourse,1,,PDT,
148,"# text = Ten se v roce 1838 vypravil na zkušenou do sv?ta, aby se zejména v Londýn? zabýval pr?myslovou špionáží.",a,2,1,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,6,nsubj,1,,PDT,
150,# text = Ale za ty by každý musel draze zaplatit.,i,1,,,3,ty,PDFP4----------,Case=Acc|Gender=Fem|Number=Plur|PronType=Dem,8,obj,4,,PDT,
151,"# text = Ten st?elbu op?toval, avšak zran?n nebyl nikdo.",a,1,1,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,3,nsubj,1,,PDT,
152,"# text = Na chodb? na nás ze sklen?ných ""doupat"" koukají k?e?ci a dokonce i bílý králík (ten prý je ze všech zví?átek nejneukázn?n?jší).",a,1,1,,18,ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,24,nsubj,1,,PDT,
154,# text = Ty nám ale nevydržely moc dlouhou dobu.,i,4,1,"4,6",1,Ty,PDIP1----------,Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur|PronType=Dem,4,nsubj,1,,PDT,
155,# text = Ten do Tater nep?ijel a doma skon?il sedmý a ?trnáctý.,a,4,1,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,4,nsubj,1,,PDT,
156,"# text = V této osobní vzpou?e vsadil na rozum, avšak ten ho zklame - ztrácí milenku, je p?í?inou zni?ení Markéty;",i,4,1,,10,ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,12,nsubj,1,,PDT,
157,"# text = Ta spo?ívá na neúnavné práci, vysokém stupni vzd?lanosti a moderní organizaci ?ízení ekonomiky.",i,4,1,"4, 4!",1,Ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,2,nsubj,1,,PDT,?????????????????? ???? ????????? ??????????
158,# text = Ten je ešte za dverami...,a,1,1,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,5,amod,1,,PDT,
159,"# text = Je zde i problém národnostních menšin, jako hlavní faktor hovo?ící pro pom?rný systém, nebo? ty by byly ?ist? v?tšinovým systémem ""biti"".",i,2,2,,17,ty,PDFP1----------,Case=Nom|Gender=Fem|Number=Plur|PronType=Dem,24,nsubj:pass,1,,PDT,
160,"# text = Ten se o své zemi vyjad?uje opravdu zvláštn?: ""U nás to bude zlé, po?ítám s ob?anskou válkou, naší podstatou je"" vendeta "", Korsi?ané jsou proti nám kostelní ministranti.",a,7,1,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,6,nsubj,1,,PDT,
161,# text = Dnes už máme jen jednu velmoc a ta se nechce nikde moc angažovat.,i,4,1,,8,ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,10,nsubj,1,,PDT,
162,"# text = V roce 1917 bolševici vyhlásili, z?ejm? na v?ky, všechnu moc sov?t?m: o sedmdesát a n?co let pozd?ji z ní nezbyly ani trosky, i ty se rozpadly.",i,1,1,,28,ty,PDFP1----------,Case=Nom|Gender=Fem|Number=Plur|PronType=Dem,30,nsubj,1,,PDT,
163,"# text = ""Nastala doba zázrak?"", p?edvídal jeden, ""konec anti d?jin"", vyhlásil jiný, a t?etí dosp?l ke zjišt?ní, že lidstvo se ocitlo ""na konci d?jin"": ty byly totiž uzav?eny nezvratitelným vít?zstvím ""liberální demokracie, která perspektivn? už nebude mít konkurenta"".",i,2,1,,35,ty,PDFP1----------,Case=Nom|Gender=Fem|Number=Plur|PronType=Dem,38,nsubj:pass,1,,PDT,
164,"# text = Jak ten má ale kvalitn? ošet?ovat, povídat si p?i tom s pacientem a mít krátkou objednací dobu, bude-li se k n?mu chtít p?ihlásit 5000 ob?an??",a,4,1,,2,ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,3,nsubj,1,,PDT,
165,# text = Ten se však vyjád?il lakonicky:,a,4,1,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,4,nsubj,1,,PDT,
166,# text = Ten ji posléze vyhodil z okna a z bytu odcizil n?které p?edm?ty.,a,1,1,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,4,nsubj,1,,PDT,
167,"# text = Ta je jedním ze šesti akcioná?? fondu, dalšími jsou akciové spole?nosti Vítkovice, Nová hu? a Kovošrot Ostrava s.p., m?sto Ostrava a Union Babna a.s., která plní funkci depozitá?e fondu.",i,2,1,,1,Ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,3,nsubj,1,,PDT,
168,# text = Ta m?la premiéru v USA na podzim 1893.,i,3,1,,1,Ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,2,nsubj,1,,PDT,
169,# text = Ten umož?uje p?i jedné návšt?v? volební místnosti vykonat ob? kola zárove?.,i,1,1,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,2,nsubj,1,,PDT,
170,# text = ta pat?í státu - nyní s Berlusconim v ?ele vlády.,i,2,1,"2!,2",1,ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,2,nsubj,1,,PDT,
171,"# text = Bude ubytována v hotelu Atrium, stejn? jako José Carreras (ten p?iletí do Prahy dnes v poledne).",a,1,1,,12,ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,13,nsubj,1,,PDT,
172,"# text = Bude ubytována v hotelu Atrium, stejn? jako José Carreras (ten p?iletí dnes v poledne).",a,1,1,,12,ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,13,nsubj,1,,PDT,
173,"# text = Z pelotonu uchaze?? o start v PVP Kop?ivnice vypadla už ve ?tvrtfinále zásluhou Karviné (tu obratem z poháru vy?adila práv? Dukla) a o titul mistra ?R si to rozdá s Duklou ve finále dnes v 11 hodin v hale na Letné (druhé utkání tamtéž v ned?li v 10 hodin, hraje se na t?i vít?zné zápasy).",a,2,1,"1, 2!",16,tu,PDFS4----------,Case=Acc|Gender=Fem|Number=Sing|PronType=Dem,20,obj,4,,PDT,
174,"# text = Ti se scházejí, aby posoudili, co ten obecný zájem je.",a,1,1,,1,Ti,PDMP1----------,Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur|PronType=Dem,3,nsubj,1,,PDT,????? ????
175,"# text = Ten, jak po zadržení vypov?d?l, údajn? získal tyto v?ci od jistého muže z Kladenska s úmyslem prodat je do zahrani?í.",a,2,1,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,9,nsubj,1,,PDT,
176,"# text = Ta, po tém?? ?ty?ech letech poznamenaných diskusemi a neúsp?šnými legislativními kroky, otev?ela možnost, aby Žid?m byl vrácen majetek, o který je p?ipravili nacisté.",i,4,1,,1,Ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,14,nsubj,1,,PDT,
177,"# text = Práv? ta byla, podle mluv?í ODS Jany Petrové, d?vodem sázky na rasovou kartu.",i,7,1,,2,ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,11,nsubj,1,,PDT,????????? ???????
178,"# text = Ten totiž vzrostl mnohem mén?, než se o?ekávalo.",i,6,1,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,3,nsubj,1,,PDT,
180,"# text = Ten byl druhým nejvážn?jším kandidátem na St?íbrnou r?ži,"" tvrdí šéfproducent Balvín.",a,7,1,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,5,nsubj,1,,PDT,
181,"# text = Ta snad získá zkušenosti i v oblasti vážné hudby a p?íšt? se snad nezopakují drobné vady na kráse ojedin?lého ve?era (nap?. ne zcela vyprodaný sál, nedostatek program?, tiskové chyby).",i,2,1,,1,Ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,3,nsubj,1,,PDT,
182,"# text = Ti si, jak se zdá, s režisérem v?tšinou porozum?li a svými výkony dodávají inscenaci rytmus i k?ehkou stylovou jednotu.",a,6,1,,1,Ti,PDMP1----------,Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur|PronType=Dem,11,nsubj,1,,PDT,
183,# text = Ti totiž platí 10000 dolar? ro?n?.,a,2,1,,1,Ti,PDMP1----------,Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur|PronType=Dem,3,nsubj,1,,PDT,
184,# text = Ty by m?la ?ešit i nedávná reorganizace bankovního dohledu ?NB.,,,,,1,Ty,PDFP4----------,Case=Acc|Gender=Fem|Number=Plur|PronType=Dem,4,obj,4,,PDT,
185,"# text = Podle nového zákona se totiž musí každý p?ípad oznámit justici a teprve ta rozhodne, zda se léka? nedopustil vraždy.",,,,,13,ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,14,nsubj,1,,PDT,
186,"# text = ""Výzkumný ústav práce a sociálních v?cí zorganizoval sch?zku odborník? a ti se shodli na tom, že ministerstvo práce a sociálních v?cí by nem?lo být garantem tohoto zákona.",a,,,,12,ti,PDMP1----------,Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur|PronType=Dem,14,nsubj,1,,PDT,
187,"# text = Ten uvád?l n?kolikanásobné hodnoty nemovitostí, které sloužily jako záruky pro poskytované úv?ry - a banka údaje nep?ezkoumala.",,,,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,2,nsubj,1,,PDT,
188,"# text = Ty ""ulil"" ze svých švýcarských kont ješt? p?edtím, než na n? Deutsche Bank sta?ila vznést nároky.",,,,,1,Ty,PDFP4----------,Case=Acc|Gender=Fem|Number=Plur|PronType=Dem,3,obj,4,,PDT,
189,"# text = Myslíte si, že i ty mají stejnou šanci být ekonomicky úsp?šní?",i,,,,6,ty,PDIP1----------,Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur|PronType=Dem,7,nsubj,1,,PDT,
190,"# text = Selským rozumem se ú?ady ne?ídí, ty se ?ídí p?edpisy.",i,,,,7,ty,PDIP1----------,Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur|PronType=Dem,9,nsubj:pass,1,,PDT,
191,"# text = Pochytil ?ty?i v?ty pronesené dob?e oble?enými, tedy jist? u?enými lidmi, a ty si zapamatoval.",,,,,14,ty,PDFP4----------,Case=Acc|Gender=Fem|Number=Plur|PronType=Dem,16,obj,4,,PDT,
192,"# text = Ovšem ?íci recese, když prostý lid neví p?esn?, co to znamená, p?ece jenom m?že výrazn?ji ukázat, jaké to mají ti naho?e t?žké.",a,,,,24,ti,PDMP1----------,Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur|PronType=Dem,23,nsubj,1,,PDT,
193,"# text = Ta je zde p?edstavena v pokleslé podob?, v?etn? lí?ení, kostým? (Helena Dubová) a ""varietní"" choreografie (Dana Gregorová).",,,,,1,Ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,4,nsubj:pass,1,,PDT,
194,"# text = Ten se rovn?ž soust?e?uje p?edevším na postižení bizarního rozm?ru své role, snad ani on sám nev??í, že ""B?h je láska"".",,,,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,4,nsubj,1,,PDT,
195,"# text = Z úvodní zdrcující porážky od Ruska 3:12 si nic ned?lal: ""P?ijeli jsme se u?it, získat zkušenosti a ty pak využít proti slabším soupe??m a zachránit se,"" uvedl na tiskové konferenci.",,,,,23,ty,PDFP4----------,Case=Acc|Gender=Fem|Number=Plur|PronType=Dem,25,obj,4,,PDT,
196,# text = Ty však nejsou v ?R d?vodem k získání azylu.,i,,,,1,Ty,PDIP1----------,Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur|PronType=Dem,6,nsubj,1,,PDT,
197,# text = Ten ?iní 16100 korun.,,,,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,2,nsubj,1,,PDT,
198,"# text = Ta vyplývá hlavn? z trestního ?ádu, týká se zejména nižších složek, spolupráce s vyšet?ovateli.",,,,,1,Ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,2,nsubj,1,,PDT,
199,# text = Ten bude od okamžiku jeho p?evzetí do doby splatnosti úro?en podle úrokových sazeb ?SOB.,,,,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,10,nsubj,1,,PDT,
200,"# text = Šokovaná Parma potom sice Arsenal zatla?ila na jeho polovinu, ten však nenápadn? za?al šet?it vte?iny a tak gólmana Seamana ohrozil až v 38. minut? Zola st?elou pod b?evno.",,,,,11,ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,14,nsubj,1,,PDT,
201,"# text = ""Precizací výraz? v kontraktech"" pokra?uje jednání s oporami USK Be?kou a Tremlem, na které si myslí i Vyšehrad, a nejlepší podkošovou hrá?kou ?eské ligy Vodi?kovou (ta upoutala mj. i Belgi?any).",,,,,31,ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,32,nsubj,1,,PDT,
202,"# text = Tu si podržel i poté, co odešel do d?chodu.",,,,,1,Tu,PDFS4----------,Case=Acc|Gender=Fem|Number=Sing|PronType=Dem,3,dep,4,,PDT,
203,"# text = Ten v této souvislosti vykonává policejní funkci, podobn? jako p?i uplat?ování p?edpis? trestního práva.",,,,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,5,nsubj,1,,PDT,
204,# text = Ty trpí z hlediska nové ?eské ústavy jednou vadou.,,,,,1,Ty,PDFP1----------,Case=Nom|Gender=Fem|Number=Plur|PronType=Dem,2,nsubj,1,,PDT,
205,# text = Tou se v právním ?ádu komunistického státu upravovaly i vztahy tradi?n? soukromoprávní.,,,,,1,Tou,PDFS7----------,Case=Ins|Gender=Fem|Number=Sing|PronType=Dem,8,obl,7,,PDT,
206,"# text = Ta byla vždy závislá na rozhodnutí státního orgánu, který této vým?n? p?ivolil ?i nep?ivolil.",,,,,1,Ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,4,nsubj,1,,PDT,
207,"# text = Ten m?l být neodmyslitelnou sou?ástí ústavního po?ádku, po mnoha diskusích však minist?i usoudili, že je zcela zbyte?ný.",,,,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,2,nsubj,1,,PDT,
208,# text = Ten také v ned?li sérii varhanních koncert? otev?e.,,,,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,8,nsubj,1,,PDT,
209,"# text = Ten nejen informuje o interpretech, autorech a uvád?ných dílech, ale v obsáhlé stati Tomislava Volka p?ibližuje hudební historii svatovítské katedrály.",,,,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,3,nsubj,1,,PDT,
210,# text = Ten se nezbortí.,,,,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,3,nsubj,1,,PDT,
211,"# text = Všechno za?alo p?esn? p?ed týdnem, kdy se hrá?i od zlínského manažera Maršíka dozv?d?li, že v nastávající sezon? bude platit stejný prémiový ?ád jako v té minulé, který už loni p?i hlasování v kabin? prošel t?snou v?tšinou hlas? (16:14).",,,,,27,té,PDFS6----------,Case=Loc|Gender=Fem|Number=Sing|PronType=Dem,22,dep,6,,PDT,
212,# text = Viktoria nechala p?i rozehraném trestném kopu volného Hanssona a ten z úhlu na hranici šestnáctky nedal to?enou bombou Zítkovi nad?ji.,,,,,10,ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,16,nsubj,1,,PDT,
213,# text = Ti mimochodem 24 hodin p?edtím povzbuzovali v Göteborgu Spartu.,a,,,,1,Ti,PDMP1----------,Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur|PronType=Dem,6,nsubj,1,,PDT,
214,"# text = Rozhod?í poslali t?sn? p?ed elitní desítkou na tra? Ullricha, a ten p?edvedl skv?lý výkon a dokázal, že jeho lo?ský titul mezi amatéry nebyl náhodný.",,,,,12,ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,13,nsubj,1,,PDT,
215,"# text = Ten LN sd?lil , že jakmile podepíše nové vedení holdingu dohodu o p?evzetí závazku v??i Komer?ní bance , banka uvolní Poldi Ocel p?lmiliardový úv?r .",,,,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,3,nsubj,1,,PDT,
216,# text = Ten by m?l vládní návrh zákona projednat na svém zá?ijovém zasedání .,,,,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,3,nsubj,1,,PDT,
217,"# text = Ten má díky § 191 Zákoníku práce možnost se své odpov?dnosti zcela nebo ?áste?n? zprostit v p?ípad?, že škoda prokazateln? vznikla v d?sledku porušení p?edpis? ze strany zam?stnance, jeho opilosti, zneužití jiných návykových látek nebo že její p?í?inou je neobvyklá lehkomyslnost pracovníka, který musel v?d?t, že si takto m?že p?ivodit újmu na zdraví.",,,,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,2,nsubj,1,,PDT,
218,"# text = Ten se domnívá, že loterie by m?la být pro sv?j dosavadní neúsp?ch zrušena.",,,,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,3,nsubj,1,,PDT,
219,"# text = Ti se dohodli s vedením premier league, že by se alespo? podívali do hospoda?ení klub? posledních dvou let, kdy premier league existuje, a že tedy p?edchozí doba, kdy nejvyšší ligová sout?ž m?la jiné vedení, by byla jaksi opomenuta.",a,,,,1,Ti,PDMP1----------,Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur|PronType=Dem,3,nsubj,1,,PDT,
220,"# text = Ten p?išel z celku Oesters Vaxjö, který v lize 1993 obsadil osmou pozici.",,,,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,2,nsubj,1,,PDT,
221,"# text = Ten mu vybarvil PSV jako nejprofesionáln?jší klub, jaký kdy poznal, nejlépe organizovaný sportovní podnik, který Ronaldovi umožní vstup do velkého fotbalu.",,,,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,3,nsubj,1,,PDT,
222,# text = Ten si vybral pro evropskou aklimatizaci Paris St. Germain.,,,,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,3,nsubj,1,,PDT,
223,"# text = Do druhé p?le nastoupil v útoku domácích Vysko?il a hned p?ipravil šanci Váchovi, toho však odzbrojil Hrbek.",a,,,,15,toho,PDMS4----------,Animacy=Anim|Case=Acc|Gender=Masc|Number=Sing|PronType=Dem,17,obj,4,,PDT,
224,# text = Ten mezi 10. a 20. minutou vedl k oto?ení skóre z 0:1 na 2:1 a druhý po st?ídání p?íliš defenzivního Hyravého ?ížkem a p?eskupení domácí zálohy v prvních dvaceti minutách 1. polo?asu.,,,,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,9,nsubj,1,,PDT,
225,# text = Ten p?i svém 59. ligovém startu v nejvyšší sout?ži (b?hem t?í prvoligových sezon dal 20 ligových gól?) byl vylou?en.,,,,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,22,nsubj,1,,PDT,
