sentence,ref_anim,ref_case,distance(clauses),conflict,num,outcome
"# text = Podle sdělení ministra zemědělství Luxe bylo ještě pro vývoz drůbeže určeno na americké straně dalších pět milionů dolarů, ale ""ty jsou pro Českou republiku nepřijatelné"", sdělil náš ministr.",i,4,1,no,22,1
# text = Ty tvoří v ročním obratu 200 milionů až polovinu.,i,6,1,no,1,1
"# text = Pokud Formed nesplní podmínky smlouvy v rychlosti opravy, pošle zákazníkovi dobropis, a ten má opravu zdarma.",a,3,1,no,15,1
"# text = Dnes je také mnohem menší šance, že by se něco zajímavého dalo objevit třeba na venkově, protože ten systematicky objíždí řada překupníků.",i,6,,no,20,1
# text = Ta byla jakýmsi slabikářem pro budoucí podnikatele.,i,4,1,no,1,1
# text = Ta sice zatím neexistuje.,i,1,1,no,1,1
"# text = * nenechat se nalákat na malý dárek při objednávce zboží, protože ten jste si určitě zaplatili,",i,4,,no,13,1
"# text = Nejnaléhavěji to vystupuje do popředí u bytů ve vlastnictví obcí, protože ty spravují asi čtvrtinu bytového fondu České republiky a některé mají - především z finančních důvodů - zájem část svých bytů zpeněžit.",i,2,1,no,13,1
"# text = Ten prozkoumal kolekci z hlediska malířského rukopisu a došel k závěru, že ji nenamaloval van Gogh.",a,4,2,no,1,1
# text = Ta po nevyhnutelné restrikci v době dělení státu a měny přešla ve 2. pololetí naopak do mírně expanzivní polohy.,i,7,1,no,1,1
# text = Ten by se měl v letošním roce zvyšovat tempem 2 - -3 % a v příštím roce tempem asi 3 - 4 %.,i,2,1,no,1,1
# text = Ke schválení tohoto zvýšení jsou potřebné dvě třetiny hlasů akcionářů - a ty stát díky svým 70 % akcií má.,i,1,,no,13,1
"# text = Ten má hlavně uhradit rozvojový program společnosti, který má cíl přibližně do roku 2000 zdvojnásobit počet telefonních stanic a rozvinout telekomunikační sítě na bázi digitální technologie.",i,1,1,yes,1,1
"# text = Příznivě by měly být tomu nakloněny i zdravotní pojišťovny, neboť ty by rovněž uspořily za cestovné, konstatoval Petr Wízner.",i,1,1,no,12,1
# text = g) Kromě bytu má člen družstva nárok na vypořádací podíl (ten se stanoví jako podíl na veškerém majetku družstva včetně takzvaného nedělitelného fondu a členovi musí být vyrovnán nejpozději do 5 let).,i,4,1,no,13,1
# text = Ten musí přijmout náležité opatření.,a,7,1,yes,1,1
# text = Ten byl krutý.,i,1,1,no,1,1
# text = Ta je mým jediným bankovním ústavem.,i,2,1,no,1,1
# text = Ten ukládá možnosti určitých korekcí daňových norem.,i,1,1,no,1,1
# text = Ty ukázaly potřebu novelizovat některá ustanovení zákona a formulovat tak některé ustanovení zákona jednoznačněji.,i,1,1,no,1,1
"# text = Ta umožňuje poslech 30 hudebních žánrů, které jsou vysílány souběžně celých 24 hodin z USA.",i,4,1,no,1,1
"# text = Ti mají tendence přesunout se do oblastí výroby, obchodu a služeb.",a,2,1,no,1,1
# text = Ten činí 18 procent.,i,2,1,no,1,1
# text = Stejn? jako on se o tuto pr?ci zaj?mali i dal?? jeho krajan?.,a,1,7,no,3,0
# text = On osobn? j? p?eje p??jemn? a u?ite?n? pobyt v Gaze.,a,1,5,no,1,0
"# text = I oni se ale mohou vyk?zat jen n?hodn?mi ?sp?chy v podob? zlat?ch minc? a klenot?, jejich? hodnota se ale s velikost? o?ek?van?ho n?lezu ned? srovnat.",a,2,4,no,2,0
