"","Individual","Form","Polarity","Sex","AgeGroup","Age","DP.Constituency","Proximate1","Proximate2","Proximate1.adj","Adjacency","Token","Following"
"193","Y7","R","Affirmative","M","51-70",60,"quantifier",2,2,"Non-Adjacent","Non-Adjacent","there were"," quite a lot about nineteen-forty-two when the blitz was on as it was called in York.  "
"194","Y7","R","Negative","M","51-70",60,"V",0,0,"Adjacent","Adjacent","there weren"," 't as many. "
"195","Y7","R","Affirmative","M","51-70",60,"combo",1,3,"Non-Adjacent","Non-Adjacent","there were"," only two hundred students and men out-- "
"196","Xb","R","Affirmative","F","51-70",61,"numeric Q",0,0,"Adjacent","Adjacent","there were"," three-hundred-and-eighty- I had three-hundred-and-eighty ladies, "
"197","Xb","S","Affirmative","F","51-70",61,"partitive",0,2,"Adjacent","Non-Adjacent","there was"," eight of us in a three-bedroomed terrace- er in a three-bedroomed semi.  "
"198","Xb","R","Affirmative","F","51-70",61,"bare NP",0,0,"Adjacent","Adjacent","there were"," dance halls (Tape ends side b 34.2)."
"199","Xb","S","Affirmative","F","51-70",61,"combo",1,1,"Non-Adjacent","Non-Adjacent","there was"," so many.  So that was when we decided to look for somewhere,"
"200","Y2","S","Affirmative","M","51-70",62,"definite",2,2,"Non-Adjacent","Non-Adjacent","there was"," all the people all round York who was all the people round York "
"201","Y2","S","Affirmative","M","51-70",62,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there was"," a lot of airmen billeted in York.  "
"202","Y2","S","Affirmative","M","51-70",62,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there was"," a lot of minors out of work in Wales "
"203","Y2","S","Affirmative","M","51-70",62,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there was"," about twenty-five-thousand tons of stone which was moving.  "
"204","Y2","R","Affirmative","M","51-70",62,"adjectiv",1,1,"Non-Adjacent","Non-Adjacent","there were"," big factories, big-. "
"205","Y2","S","Affirmative","M","51-70",62,"adjectiv",1,1,"Non-Adjacent","Non-Adjacent","there was"," pill boxes on the road in case "
"206","Y2","S","Affirmative","M","51-70",62,"bare NP",0,0,"Adjacent","Adjacent","there was"," air-raids and we had bombs in the street on Axby-Road.  "
"207","Y2","S","Affirmative","M","51-70",62,"bare NP",0,0,"Adjacent","Adjacent","there was"," pigs down there and- killed all-that-sort-of-thing.  "
"208","Y2","S","Affirmative","M","51-70",62,"quantifier",1,2,"Non-Adjacent","Non-Adjacent","there was"," about two years.  "
"209","Y2","S","Affirmative","M","51-70",62,"quantifier",2,2,"Non-Adjacent","Non-Adjacent","there was"," quite a few.  And from that night on again that was one.  "
"210","Y2","R","Affirmative","M","51-70",62,"V",1,1,"Non-Adjacent","Non-Adjacent","there were"," certain things happened.  "
"211","Y2","S","Affirmative","M","51-70",62,"combo",1,1,"Non-Adjacent","Non-Adjacent","there was"," only two going. Mary-Cook.  "
"212","Xm","S","Affirmative","F","51-70",62,"definite",1,2,"Non-Adjacent","Non-Adjacent","there was"," all these others just milling about.  "
"213","Xm","S","Negative","F","51-70",62,"definite",4,4,"Non-Adjacent","Non-Adjacent","there wasn"," 't the major sort of bombings and stuff like that but there was orange men.  "
"214","Xm","S","Affirmative","F","51-70",62,"definite",1,1,"Non-Adjacent","Non-Adjacent","there was"," these offices at Headingley would be ideal.    "
"215","Xm","R","Affirmative","F","51-70",62,"partitive",0,2,"Adjacent","Non-Adjacent","there were"," five of us of course so he squeezed three in, and two walked. "
"216","Xm","S","Affirmative","F","51-70",62,"partitive",0,2,"Adjacent","Non-Adjacent","there was"," plenty of them wanting you-know. "
"217","Xm","R","Affirmative","F","51-70",62,"partitive",0,3,"Adjacent","Non-Adjacent","there were"," three of us. So all the time we were travelling"
"218","Xm","R","Affirmative","F","51-70",62,"numeric Q",0,1,"Non-Adjacent","Non-Adjacent","there were"," four seats and-so-on. "
"219","Xm","S","Negative","F","51-70",62,"adjectiv",1,1,"Non-Adjacent","Non-Adjacent","there was"," n 't major problems.  But you-know.  "
"220","Xm","S","Affirmative","F","51-70",62,"adjectiv",1,1,"Non-Adjacent","Non-Adjacent","there was"," wealthy Americans all about and-everything.  "
"221","Xm","R","Affirmative","F","51-70",62,"bare NP",0,0,"Adjacent","Adjacent","there were"," bombings and- over in Northern-Ireland  "
"222","Xj","R","Affirmative","F","51-70",62,"partitive",5,5,"Non-Adjacent","Non-Adjacent","there were"," a lot of er- er lads from down pit.  "
"223","Xj","S","Affirmative","F","51-70",62,"partitive",0,2,"Adjacent","Non-Adjacent","there was"," ten of them left.  And er-.  "
"224","Xj","S","Affirmative","F","51-70",62,"partitive",0,2,"Adjacent","Non-Adjacent","there was"," two of them at it.  "
"225","Xj","S","Affirmative","F","51-70",62,"numeric Q",0,1,"Adjacent","Non-Adjacent","there was"," two Miss-Woods they called them and their brother.  "
"226","Xj","S","Affirmative","F","51-70",62,"adjectiv",1,1,"Non-Adjacent","Non-Adjacent","there was"," Buckingham-Palace chocolates and tea- er- no not tea-shirts. "
"227","Xj","S","Negative","F","51-70",62,"quantifier",1,1,"Non-Adjacent","Non-Adjacent","there was"," n 't any postcards as such  of views of Buckingham-Palace. "
"228","YA","S","Affirmative","M","51-70",62,"numeric Q",0,0,"Adjacent","Adjacent","there was"," nineteen, a break, and then another six. "
"229","Ya","R","Affirmative","F","51-70",62,"numeric Q",0,0,"Adjacent","Adjacent","there were"," six, seven, there was about eight of us in that front bedroom.  "
"230","Ya","S","Affirmative","F","51-70",62,"all",2,2,"Non-Adjacent","Non-Adjacent","there was"," all old carpets and pictures and they were all taken to my father-in-laws field and burnt"
"231","Ya","S","Affirmative","F","51-70",62,"all",2,2,"Non-Adjacent","Non-Adjacent","there was"," all people's belongings, you-know, that were stored in there until they could rehouse them, "
"232","Ya","S","Affirmative","F","51-70",62,"definite",1,1,"Non-Adjacent","Non-Adjacent","there was"," these concerts, "
"233","Ya","S","Affirmative","F","51-70",62,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there was"," about four of us left.  "
"234","Ya","R","Affirmative","F","51-70",62,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there were"," about six of us going on holiday together.  "
"235","Ya","S","Affirmative","F","51-70",62,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there was"," actually fourteen of us went, you-know, "
"236","Ya","S","Affirmative","F","51-70",62,"partitive",0,2,"Adjacent","Non-Adjacent","there was"," fourteen of us, because some of the girls that we went with, "
"237","Ya","S","Affirmative","F","51-70",62,"partitive",0,2,"Adjacent","Non-Adjacent","there was"," lots of cinemas, "
"238","Ya","S","Affirmative","F","51-70",62,"partitive",0,3,"Adjacent","Non-Adjacent","there was"," lots of dance halls, now then- most- "
"239","Ya","S","Affirmative","F","51-70",62,"partitive",2,4,"Non-Adjacent","Non-Adjacent","there was"," quite a lot of girls who were what they called outworkers.  They made the ships in their own home.  "
"240","Ya","S","Affirmative","F","51-70",62,"neg",1,1,"Non-Adjacent","Non-Adjacent","there was"," no airports up this end.  "
"241","Ya","S","Affirmative","F","51-70",62,"neg",1,1,"Non-Adjacent","Non-Adjacent","there was"," no flights from- I don't think "
"242","Ya","S","Affirmative","F","51-70",62,"numeric Q",0,2,"Adjacent","Non-Adjacent","there was"," twenty-two public houses, there's two now.  "
"243","Ya","S","Affirmative","F","51-70",62,"numeric Q",0,4,"Adjacent","Non-Adjacent","there was"," two double bedr-- two double beds,  "
"244","Ya","S","Affirmative","F","51-70",62,"bare NP",3,3,"Non-Adjacent","Non-Adjacent","there was"," Cliff-Richard and all them, but I mean, it was every Sunday night "
"245","Ya","S","Affirmative","F","51-70",62,"bare NP",0,0,"Adjacent","Adjacent","there was"," pictures as big as that blackboard of race-horses and things like that you know, "
"246","Ya","S","Affirmative","F","51-70",62,"bare NP",0,0,"Adjacent","Adjacent","there was"," spittoons (inc) and the heating was one of those potbellied stoves.  "
"247","Ya","S","Negative","F","51-70",62,"bare NP",0,0,"Adjacent","Adjacent","there was","n't hotels like there is now.  "
"248","Ya","S","Affirmative","F","51-70",62,"V",1,1,"Non-Adjacent","Non-Adjacent","there was"," any deliveries, "
"249","Ya","S","Affirmative","F","51-70",62,"combo",1,3,"Non-Adjacent","Non-Adjacent","there was"," about eight of us in that front bedroom.  "
"250","Ya","S","Affirmative","F","51-70",62,"combo",1,3,"Non-Adjacent","Non-Adjacent","there was"," about nine- nine cinemas in York in them days.  "
"251","Ya","R","Affirmative","F","51-70",62,"combo",2,2,"Non-Adjacent","Non-Adjacent","there were"," just little pensions with the maybe ten rooms, and er, very cheap "
"252","Ya","R","Affirmative","F","51-70",62,"combo",4,4,"Non-Adjacent","Non-Adjacent","there were"," nearly all Italian holiday makers there.  There was only one bus load of English people and that was us.   "
"253","Ya","S","Affirmative","F","51-70",62,"combo",1,2,"Non-Adjacent","Non-Adjacent","there was"," only two girls left, and then "
"254","YE","S","Affirmative","F","51-70",63,"numeric Q",0,0,"Adjacent","Adjacent","there was"," three-one, three-two, three-three. "
"255","YE","R","Affirmative","F","51-70",63,"definite",3,3,"Non-Adjacent","Non-Adjacent","there were"," all the search lights were sort of positioned weren 't they. "
"256","YE","R","Affirmative","F","51-70",63,"definite",1,1,"Non-Adjacent","Non-Adjacent","there were"," the eggs.  Black, and the pan, burnt.  "
"257","YE","S","Affirmative","F","51-70",63,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there was"," all sorts of-.  "
"258","YE","S","Affirmative","F","51-70",63,"partitive",0,3,"Adjacent","Non-Adjacent","there was"," lots of rabbits pies and things.  They used- people used to put rabbit pies suppers on "
"259","YE","R","Affirmative","F","51-70",63,"partitive",2,5,"Non-Adjacent","Non-Adjacent","there were"," quite a number of dance halls wasn 't there.  There was one down Goodramgate. "
"260","YE","R","Affirmative","F","51-70",63,"neg",1,1,"Non-Adjacent","Non-Adjacent","there were"," no boys passed.  There were four- four girls. There were four of us."
"261","YE","R","Affirmative","F","51-70",63,"numeric Q",3,3,"Non-Adjacent","Non-Adjacent","there were"," one or few characters round the city.  "
"262","YE","R","Affirmative","F","51-70",63,"numeric Q",2,3,"Non-Adjacent","Non-Adjacent","there were"," one or two names we got stuck on you-know "
"263","YE","R","Affirmative","F","51-70",63,"numeric Q",2,3,"Non-Adjacent","Non-Adjacent","there were"," one or two schools that you could do that. Er Rowntree's were very good.  "
"264","YE","R","Affirmative","F","51-70",63,"bare NP",0,0,"Adjacent","Adjacent","there were","nuns that ran this place.  It 's a newly built place er on the-. "
"265","YE","S","Affirmative","F","51-70",63,"quantifier",2,4,"Non-Adjacent","Non-Adjacent","there was"," quite a few dance places wasn 't there.  "
"266","YE","R","Affirmative","F","51-70",63,"quantifier",2,2,"Non-Adjacent","Non-Adjacent","there were"," some lovely shops.  And all the picture houses of course have gone.  "
"267","YE","S","Affirmative","F","51-70",63,"quantifier",0,2,"Adjacent","Non-Adjacent","there was"," some odd bods lived on the next street.  "
"268","YE","R","Affirmative","F","51-70",63,"quantifier",0,4,"Adjacent","Non-Adjacent","there were"," some quite dangerous looking things there. "
"269","YE","R","Affirmative","F","51-70",63,"quantifier",1,1,"Non-Adjacent","Non-Adjacent","there were"," very few really that went to University. "
"270","YE","R","Affirmative","F","51-70",63,"V",1,1,"Non-Adjacent","Non-Adjacent","there were"," certain days going to an Anglican school I got ascension day off I remember.  "
"271","YE","S","Affirmative","F","51-70",63,"combo",1,2,"Non-Adjacent","Non-Adjacent","there was"," only seventeen months between the girls "
"272","YQ","R","Affirmative","F","51-70",63,"numeric Q",0,2,"Adjacent","Non-Adjacent","there were"," four other bikes behind us "
"273","YQ","S","Affirmative","F","51-70",63,"bare NP",0,0,"Adjacent","Adjacent","there was"," offices off there all the way round.  "
"274","YQ","R","Affirmative","F","51-70",63,"quantifier",1,1,"Non-Adjacent","Non-Adjacent","there were"," some cases "
"275","Yl","S","Affirmative","F","51-70",65,"numeric Q",0,0,"Adjacent","Adjacent","there was"," fifty in our class"
"276","Yl","R","Affirmative","F","51-70",65,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there were"," a lot of girls-schools and women's-colleges "
"277","Yl","S","Affirmative","F","51-70",65,"neg",1,1,"Non-Adjacent","Non-Adjacent","there was"," no nursery-schools in those days of course, you just went straight into school. "
"278","Yl","R","Affirmative","F","51-70",65,"neg",2,2,"Non-Adjacent","Non-Adjacent","there were"," no women ministers.  "
"279","Yl","R","Affirmative","F","51-70",65,"bare NP",0,0,"Adjacent","Adjacent","there were"," children off Osbaldwick-Lane, they were some new council-houses "
"280","Yl","S","Affirmative","F","51-70",65,"combo",1,3,"Non-Adjacent","Non-Adjacent","there was"," about fifty of us in college you-see "
"281","YF","R","Negative","M","51-70",67,"all",2,3,"Non-Adjacent","Non-Adjacent","there weren"," 't all that many cars about."
"282","YF","R","Affirmative","M","51-70",67,"numeric Q",2,2,"Non-Adjacent","Non-Adjacent","there were"," three more pools with lake water in them.    "
"283","YF","S","Affirmative","M","51-70",67,"bare NP",0,0,"Adjacent","Adjacent","there was"," aeroplanes there.  "
"284","YF","R","Affirmative","M","51-70",67,"quantifier",3,3,"Non-Adjacent","Non-Adjacent","there were"," bi-- some big families in those days. "
"285","YF","S","Affirmative","M","51-70",67,"V",1,2,"Non-Adjacent","Non-Adjacent","there was"," always two films on and you used to get an interval  "
"286","Ye","S","Affirmative","M","51-70",68,"numeric Q",0,0,"Adjacent","Adjacent","there was"," s-- seven ... "
"287","Ye","R","Affirmative","M","51-70",68,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there were"," a lot of bosses weren 't, t"
"288","Ye","R","Affirmative","M","51-70",68,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there were"," a lot of shops."
"289","Ye","S","Affirmative","M","51-70",68,"partitive",0,2,"Adjacent","Non-Adjacent","there was"," nine of us there, and we-- Sunday joints, "
"290","Ye","R","Affirmative","M","51-70",68,"partitive",0,2,"Adjacent","Non-Adjacent","there were"," three of us at work, and these two got me into their cycling-club, "
"291","Ye","R","Affirmative","M","51-70",68,"neg",1,1,"Non-Adjacent","Non-Adjacent","there were"," no vacuum-cleaners, well er-"
"292","Ye","S","Affirmative","M","51-70",68,"neg",1,1,"Non-Adjacent","Non-Adjacent","there was"," no washing-machines, we had- we still have a peggy-tub down the garden there.  "
"293","Ye","S","Affirmative","M","51-70",68,"numeric Q",0,1,"Non-Adjacent","Non-Adjacent","there was"," five children in then, er- er- our youngest was born at just a bit later,"
"294","Ye","R","Affirmative","M","51-70",68,"numeric Q",0,0,"Adjacent","Adjacent","there were"," five or six children in the family. "
"295","Ye","S","Affirmative","M","51-70",68,"numeric Q",0,1,"Non-Adjacent","Non-Adjacent","there was"," four lads and two girls in our family.  "
"296","Ye","S","Affirmative","M","51-70",68,"numeric Q",2,3,"Non-Adjacent","Non-Adjacent","there was"," one or two children that they could really afford things.  "
"297","Ye","S","Affirmative","M","51-70",68,"numeric Q",0,1,"Non-Adjacent","Non-Adjacent","there was"," two aunts lived with us.  "
"298","Ye","R","Affirmative","M","51-70",68,"bare NP",0,0,"Adjacent","Adjacent","there were","  girls that could swear as good- as good as some of the fellas, but they didn 't use it. "
"299","Ye","S","Affirmative","M","51-70",68,"bare NP",0,0,"Adjacent","Adjacent","there was"," people lived in flats there above those shops.  "
"300","Ye","R","Affirmative","M","51-70",68,"bare NP",0,0,"Adjacent","Adjacent","there were"," record shops er- er- in York er-, Banks, "
"301","Ye","S","Affirmative","M","51-70",68,"bare NP",0,0,"Adjacent","Adjacent","there was"," walls.  Er- I-- I think the most time a window would probably get broken "
"302","Ye","R","Affirmative","M","51-70",68,"bare NP",0,0,"Adjacent","Adjacent","there were"," women  that er- a-- accepted that sort of thing. "
"303","Ye","S","Affirmative","M","51-70",68,"quantifier",3,3,"Non-Adjacent","Non-Adjacent","there was"," er- some er- buildings on the ground floor "
"304","Ye","R","Affirmative","M","51-70",68,"quantifier",1,1,"Non-Adjacent","Non-Adjacent","there were"," some blokes there, th-- that- some blokes had been there forty odd"
"305","Ye","R","Affirmative","M","51-70",68,"quantifier",0,0,"Adjacent","Adjacent","there were"," some er- well known in York, there was the er- De-Grey-Rooms a- by the Theatre-Royal. "
"306","Ye","R","Affirmative","M","51-70",68,"quantifier",2,2,"Non-Adjacent","Non-Adjacent","there were"," some rough men, er- down Walmgate on a Saturday night, "
"307","Ye","R","Negative","M","51-70",68,"quantifier",0,1,"Adjacent","Non-Adjacent","there weren"," 't many did that in those days. "
"308","Ye","R","Negative","M","51-70",68,"quantifier",1,1,"Non-Adjacent","Non-Adjacent","there weren"," 't many people went further afield because er- "
"309","Ye","R","Negative","M","51-70",68,"quantifier",1,1,"Non-Adjacent","Non-Adjacent","there weren"," 't many people with er- er-- electric- "
"310","Ye","R","Negative","M","51-70",68,"quantifier",1,1,"Non-Adjacent","Non-Adjacent","there weren"," 't many stops were missed, "
"311","Ye","R","Affirmative","M","51-70",68,"V",1,1,"Non-Adjacent","Non-Adjacent","there were"," always girls that tied up with rough men, "
"312","Ye","S","Affirmative","M","51-70",68,"V",2,2,"Non-Adjacent","Non-Adjacent","there was"," always some lads that never had quite the energy of the others, "
"313","Ye","S","Affirmative","M","51-70",68,"combo",1,2,"Non-Adjacent","Non-Adjacent","there was"," only the hard-heads that went back.  "
"314","Ye","R","Affirmative","M","51-70",68,"combo",1,2,"Non-Adjacent","Non-Adjacent","there were"," only two families I knew that had two children, "
"315","Ye","S","Affirmative","M","51-70",68,"combo",1,2,"Non-Adjacent","Non-Adjacent","there was"," only two people in our street  "
"316","Ye","S","Affirmative","M","51-70",68,"combo",2,2,"Non-Adjacent","Non-Adjacent","there was"," that many people doing it er-  "
"317","Xw","R","Affirmative","F","51-70",69,"partitive",0,2,"Adjacent","Non-Adjacent","there were","lots of things and I o-- I often wonder ho-- if there was a lot of abuse with them you-know,"
"318","Xw","R","Affirmative","F","51-70",69,"neg",1,1,"Non-Adjacent","Non-Adjacent","there were"," no children in (laughs).  T"
"319","YC","S","Affirmative","F","51-70",69,"adjectiv",1,1,"Non-Adjacent","Non-Adjacent","there was"," coal lorries around in them days.  "
"320","YB","S","Affirmative","F","51-70",70,"numeric Q",0,1,"Non-Adjacent","Non-Adjacent","there was"," four years between him and t' next one, "
"321","YB","S","Affirmative","F","51-70",70,"bare NP",0,0,"Adjacent","Adjacent","there was"," air-raid shelters built across then we used to in there on a night. "
"322","YB","R","Negative","F","51-70",70,"bare NP",0,0,"Adjacent","Adjacent","there weren"," 't trams then, we 'd converted to buses by then.  It was converted to buses."
"323","YB","S","Affirmative","F","51-70",70,"combo",1,2,"Non-Adjacent","Non-Adjacent","there was"," about four years and then youngest one "
"324","Yc","S","Affirmative","F","51-70",70,"numeric Q",0,0,"Adjacent","Adjacent","there was"," two on Bishopthorpe Road and- and I didn 't know any more.  "
"325","Yc","S","Affirmative","F","51-70",70,"neg",1,1,"Non-Adjacent","Non-Adjacent","there was"," no Guest Houses in York.  "
"326","Yc","R","Affirmative","F","51-70",70,"bare NP",0,0,"Adjacent","Adjacent","there were"," dogs poisioned along here before he came and he had a pet shop, a pet shop, a pet shop. "
"327","Yc","R","Affirmative","F","51-70",70,"bare NP",0,0,"Adjacent","Adjacent","there were"," Scaffolders working up at the old Adam 's Hydraulics 'cos it was being pulled down. "
"328","Yc","S","Affirmative","F","51-70",70,"bare NP",0,0,"Adjacent","Adjacent","there was"," times like when a Policeman brought his cheque-book and said ""Oh Seargant-Spence 's left his cheque-book.""   "
"329","Yc","R","Affirmative","F","51-70",70,"bare NP",0,0,"Adjacent","Adjacent","there were","things like that that happened. "
"330","Yc","R","Negative","F","51-70",70,"V",0,0,"Adjacent","Adjacent","there weren"," 't enough chairs for John and he came home real  upset and hurt you-know.  "
"331","YG","R","Affirmative","F","51-70",70,"definite",1,2,"Non-Adjacent","Non-Adjacent","there were"," all these cats to try and find out how many"
"332","YG","R","Affirmative","F","51-70",70,"neg",1,1,"Non-Adjacent","Non-Adjacent","there were"," no problems, no other repairs or-anything-like-that. "
"333","YG","R","Affirmative","F","51-70",70,"quantifier",2,2,"Non-Adjacent","Non-Adjacent","there were"," quite a lot that were very er very poor.  "
"334","YG","R","Affirmative","F","51-70",70,"quantifier",1,1,"Non-Adjacent","Non-Adjacent","there were"," some boys there at the time and I think"
"335","YG","R","Affirmative","F","51-70",70,"quantifier",1,1,"Non-Adjacent","Non-Adjacent","there were"," some characters there. "
"336","YG","R","Affirmative","F","51-70",70,"combo",1,1,"Non-Adjacent","Non-Adjacent","there were"," only three in just then.  "
"337","Yo","S","Affirmative","F","51-70",70,"numeric Q",1,1,"Non-Adjacent","Non-Adjacent","there was"," about twenty- twenty- twenty.  "
"338","Yo","S","Affirmative","F","51-70",70,"numeric Q",0,0,"Adjacent","Adjacent","there was"," twenty at this- in this particular one.  "
"339","Yo","S","Affirmative","F","51-70",70,"definite",1,2,"Non-Adjacent","Non-Adjacent","there was"," the two bo-- was they all boys?  "
"340","Yo","S","Affirmative","F","51-70",70,"partitive",0,3,"Adjacent","Non-Adjacent","there was"," some of the boys from where you are came in too- oh they were great.  They were lovely boys. "
"341","Yo","R","Affirmative","F","51-70",70,"bare NP",0,0,"Adjacent","Adjacent","there were"," stalls r-- all over you-know.  Full. "
"342","Yo","S","Affirmative","F","51-70",70,"quantifier",1,5,"Non-Adjacent","Non-Adjacent","there was"," er two- we had two occasion.  Two days.  "
"343","Yo","R","Affirmative","F","51-70",70,"quantifier",2,2,"Non-Adjacent","Non-Adjacent","there were"," some orange ones as well with- mixed with them. "
"344","Yo","S","Affirmative","F","51-70",70,"combo",1,3,"Non-Adjacent","Non-Adjacent","there was"," about forty odd people al-- altogether.  Well "
"345","XD","S","Affirmative","F","51-70",70,"baradjective NP",2,2,"Non-Adjacent","Non-Adjacent","there was"," great big craters, where the bombs had er fallen you-know. "
"346","XD","R","Affirmative","F","51-70",70,"quantifier",1,1,"Non-Adjacent","Non-Adjacent","there were"," some days um, "
"347","XD","S","Affirmative","F","51-70",70,"combo",1,2,"Non-Adjacent","Non-Adjacent","there was"," so many girls of us, and- "
"348","YI","S","Affirmative","F","70+",71,"quantifier",0,5,"Adjacent","Non-Adjacent","there was"," some really charming little Irish girls and they were good. You-know. "
"349","Yg","S","Affirmative","F","70+",72,"all",3,3,"Non-Adjacent","Non-Adjacent","there was"," all my er sisters and brothers and everybody in the house.  "
"350","Yg","S","Affirmative","F","70+",72,"definite",0,2,"Adjacent","Non-Adjacent","there was"," these four classes, and er, really it was lovely. "
"351","Yg","S","Affirmative","F","70+",72,"partitive",0,2,"Adjacent","Non-Adjacent","there was"," four of us in the front bedroom, which luckily, is a big bedroom, "
"352","Yg","S","Affirmative","F","70+",72,"neg",1,1,"Non-Adjacent","Non-Adjacent","there was"," no roads, "
"353","Yg","R","Affirmative","F","70+",72,"neg",1,1,"Non-Adjacent","Non-Adjacent","there were"," no roads, "
"354","Yg","R","Affirmative","F","70+",72,"numeric Q",0,1,"Non-Adjacent","Non-Adjacent","there were"," four classes in this one school.  "
"355","Yg","S","Affirmative","F","70+",72,"numeric Q",2,4,"Non-Adjacent","Non-Adjacent","there was"," one or two other shops there.  "
"356","Yg","R","Affirmative","F","70+",72,"numeric Q",0,3,"Adjacent","Non-Adjacent","there were"," two girls grammar-schools in York, "
"357","Yg","S","Affirmative","F","70+",72,"quantifier",1,1,"Non-Adjacent","Non-Adjacent","there was"," some houses there, you know where those new flats are now?  "
"358","Yg","R","Affirmative","F","70+",72,"combo",3,3,"Non-Adjacent","Non-Adjacent","there were"," obviously too many people in the house. "
"359","Yg","S","Affirmative","F","70+",72,"combo",2,3,"Non-Adjacent","Non-Adjacent","there was"," only really two choices an a-- um, (inc) factory, or the forces, "
"360","Yg","S","Affirmative","F","70+",72,"combo",2,2,"Non-Adjacent","Non-Adjacent","there was"," so many things, and they weren 't going to be me, and I thought "
"361","Yj","S","Affirmative","M","70+",72,"numeric Q",1,1,"Non-Adjacent","Non-Adjacent","there was"," about twelve thousand worked at Rowntree's.  "
"362","Yj","S","Affirmative","M","70+",72,"partitive",0,4,"Adjacent","Non-Adjacent","there was"," lots and lots of pubs that have been up and down are closed yeah.  "
"363","Yj","R","Affirmative","M","70+",72,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there were"," still plenty of jobs you-know."
"364","Yj","R","Affirmative","M","70+",72,"numeric Q",0,1,"Non-Adjacent","Non-Adjacent","there were"," four porters in Heslington-Hall. "
"365","Yj","S","Affirmative","M","70+",72,"numeric Q",0,2,"Adjacent","Non-Adjacent","there was"," two big er freezers right at the end.  "
"366","Yj","R","Affirmative","M","70+",72,"bare NP",0,0,"Adjacent","Adjacent","there were"," doors all over the place but as-you-say they 're locked now which is a good thing. "
"367","Yj","S","Affirmative","M","70+",72,"bare NP",0,0,"Adjacent","Adjacent","there was"," hares and rats.  you see where them houses are now.  There were hares and rabbits running about there.  "
"368","Yj","S","Affirmative","M","70+",72,"bare NP",0,0,"Adjacent","Adjacent","there was"," things said by (inc.) "
"369","Yj","R","Affirmative","M","70+",72,"bare NP",0,0,"Adjacent","Adjacent","there were","hares and rabbits running about there."
"370","Yj","R","Affirmative","M","70+",72,"combo",2,5,"Non-Adjacent","Non-Adjacent","there were","maybe about seven or eight toilets you-know. "
"371","YP","S","Affirmative","F","70+",72,"partitive",1,4,"Non-Adjacent","Non-Adjacent","there was"," a lot of... injured people.  "
"372","YP","S","Affirmative","F","70+",72,"neg",1,1,"Non-Adjacent","Non-Adjacent","there was"," no treats for them. "
"373","YP","R","Negative","F","70+",72,"bare NP",0,0,"Adjacent","Adjacent","there weren"," 't handouts like they are today you-know. "
"374","YP","R","Affirmative","F","70+",72,"V",1,1,"Non-Adjacent","Non-Adjacent","there were"," other incidents, but not mm. "
"375","YP","S","Affirmative","F","70+",72,"combo",2,3,"Non-Adjacent","Non-Adjacent","there was"," only about two years between all of us you-know, so I-mean we were all qu-- er close in- in a way.  "
"376","Yq","S","Affirmative","M","70+",72,"numeric Q",1,1,"Non-Adjacent","Non-Adjacent","there was"," a-thousand-five-hundred lads on the camp. "
"377","Yq","S","Affirmative","M","70+",72,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there was"," a lot of people in the bar that night "
"378","Yq","S","Affirmative","M","70+",72,"partitive",3,3,"Non-Adjacent","Non-Adjacent","there was"," none of the people that had gone to that in Scouting you-know.  "
"379","Yq","R","Affirmative","M","70+",72,"partitive",0,0,"Adjacent","Adjacent","there were","eight of them."
"380","Yq","R","Affirmative","M","70+",72,"numeric Q",0,1,"Non-Adjacent","Non-Adjacent","there were"," thirty boys.  Well, twenty-nine I got."
"381","Yq","S","Affirmative","M","70+",72,"numeric Q",0,1,"Non-Adjacent","Non-Adjacent","there was"," three things.   "
"382","Yq","S","Affirmative","M","70+",72,"bare NP",0,0,"Adjacent","Adjacent","there was"," people teaching lads to drive cars.  Wonderful show. "
"383","Yq","S","Affirmative","M","70+",72,"bare NP",0,0,"Adjacent","Adjacent","there was"," three of these.  And er-.  "
"384","Yq","S","Affirmative","M","70+",72,"combo",2,2,"Non-Adjacent","Non-Adjacent","there was"," so many people helping us with driving instructions and-all-this-sort-of-thing.  "
"385","Yr","R","Affirmative","M","70+",72,"numeric Q",0,4,"Adjacent","Non-Adjacent","there were","two rather sunburned er lady and gentleman "
"386","Yr","R","Affirmative","M","70+",72,"partitive",1,4,"Non-Adjacent","Non-Adjacent","there were"," a lot of er problems I could see, "
"387","Yr","R","Affirmative","M","70+",72,"bare NP",0,0,"Adjacent","Adjacent","there were"," couples there where-  if a devious woman she used to try to use them you-see.  "
"388","Yr","R","Affirmative","M","70+",72,"bare NP",0,0,"Adjacent","Adjacent","there were"," people who became school teachers and-things-like-that "
"389","Yr","R","Affirmative","M","70+",72,"quantifier",1,3,"Non-Adjacent","Non-Adjacent","there were"," a few married set-ups there and it wasn 't to be recommended really. "
